"site number","site location","Cluster","site acronym","date","sample type","MIB (ng/L) ASU","Geosmin  (ng/L) ASU","Beta-cyclocitral (ng/L)","IPMP Recovery (%)","MIB (ng/L) Phoenix","Geosmin  (ng/L) Phoenix","comments"
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","1999-08-16",NA,19.5,0,NA,NA,38,0,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","1999-08-16",NA,NA,NA,NA,NA,9,0,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","1999-08-16",NA,NA,NA,NA,NA,0,0,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","1999-08-16",NA,NA,NA,NA,NA,0,7,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","1999-08-17",NA,NA,NA,NA,NA,6,0,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","1999-08-17",NA,NA,NA,NA,NA,0,0,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1999-08-17",NA,NA,NA,NA,NA,10,2,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1999-08-17",NA,0,0,NA,NA,5,3,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","1999-08-17",NA,17.5,9.1,NA,NA,19,6,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","1999-08-17",NA,NA,NA,NA,NA,22,9,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","1999-08-17",NA,NA,NA,NA,NA,12,0,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","1999-08-17",NA,17.7,0,NA,NA,34,0,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","1999-08-17",NA,NA,NA,NA,NA,4,0,NA
"field_blank","field blank",NA,NA,"1999-08-18","field blank",NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"1999-08-18","lab blank",0,0,NA,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","1999-08-18",NA,0,0,NA,NA,0,2,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","1999-08-18",NA,NA,NA,NA,NA,0,0,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","1999-08-18",NA,NA,NA,NA,NA,12,7,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","1999-08-18",NA,NA,NA,NA,NA,14,4,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","1999-08-18",NA,NA,NA,NA,NA,9,3,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","1999-08-18",NA,NA,NA,NA,NA,12,0,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","1999-08-18",NA,NA,NA,NA,NA,0,0,NA
"R3","Waddell Canal","cap","waddell canal","1999-08-18",NA,NA,NA,NA,NA,0,0,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","1999-08-18",NA,NA,NA,NA,NA,0,0,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","1999-08-25",NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","1999-09-14",NA,12.2,0,NA,NA,14,0,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","1999-09-14",NA,NA,NA,NA,NA,10,0,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","1999-09-14",NA,NA,NA,NA,NA,10,0,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","1999-09-14",NA,NA,NA,NA,NA,8,8,NA
"field_blank","field blank",NA,NA,"1999-09-15","field blank",NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"1999-09-15","lab blank",0,0,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","1999-09-15",NA,NA,NA,NA,NA,13,4,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","1999-09-15",NA,NA,NA,NA,NA,0,8,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1999-09-15",NA,NA,NA,NA,NA,12,3,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1999-09-15",NA,8.3,5.2,NA,NA,9,3,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","1999-09-15",NA,NA,NA,NA,NA,31,4,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","1999-09-15",NA,NA,NA,NA,NA,23,3,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","1999-09-15",NA,NA,NA,NA,NA,13,0,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","1999-09-15",NA,27.6,0,NA,NA,22,0,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","1999-09-15",NA,NA,NA,NA,NA,19,0,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","1999-09-16",NA,0,0,NA,NA,4,2,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","1999-09-16",NA,NA,NA,NA,NA,29,10,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","1999-09-16",NA,NA,NA,NA,NA,33,10,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","1999-09-16",NA,27.1,8,NA,NA,46,14,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","1999-09-16",NA,NA,NA,NA,NA,33,11,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","1999-09-16",NA,NA,NA,NA,NA,45,0,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","1999-09-16",NA,NA,NA,NA,NA,0,0,NA
"R3","Waddell Canal","cap","waddell canal","1999-09-16",NA,NA,NA,NA,NA,0,3,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","1999-09-16",NA,NA,NA,NA,NA,0,9,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","1999-09-29",NA,NA,NA,NA,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","1999-10-12",NA,0,0,NA,NA,5,0,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","1999-10-12",NA,0,0,NA,NA,30,0,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","1999-10-12",NA,0,0,NA,NA,20,0,NA
"R3","Waddell Canal","cap","waddell canal","1999-10-12",NA,0,43,NA,NA,6,50,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","1999-10-12",NA,0,0,NA,NA,3,6,NA
"field_blank","field blank",NA,NA,"1999-10-13","field blank",NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"1999-10-13","lab blank",0,0,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","1999-10-13",NA,0,8,NA,NA,4,13,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1999-10-13",NA,8,0,NA,NA,18,4,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1999-10-13",NA,9,0,NA,NA,19,5,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","1999-10-13",NA,27,11,NA,NA,42,9,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","1999-10-13",NA,42,18,NA,NA,43,7,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","1999-10-13",NA,28,18,NA,NA,39,9,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","1999-10-13",NA,39,21,NA,NA,44,10,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","1999-10-13",NA,24,8,NA,NA,37,8,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","1999-10-13",NA,0,20,NA,NA,21,2,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","1999-10-14",NA,8,7,NA,NA,15,5,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","1999-10-14",NA,0,0,NA,NA,6,0,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","1999-10-14",NA,0,0,NA,NA,12,0,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","1999-10-14",NA,6,0,NA,NA,11,0,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","1999-10-14",NA,6,0,NA,NA,12,2,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","1999-10-14",NA,0,0,NA,NA,16,3,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","1999-10-14",NA,11,0,NA,NA,20,2,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","1999-10-14",NA,6,0,NA,NA,19,2,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","1999-10-30",NA,0,6,NA,NA,0,2,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","1999-11-15",NA,9.3,7.9,NA,NA,12,8,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","1999-11-15",NA,0,0,NA,NA,0,2,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1999-11-15",NA,8.6,0,NA,NA,10,0,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1999-11-15",NA,5.9,0,NA,NA,7,0,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","1999-11-15",NA,7.2,0,NA,NA,13,3,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","1999-11-15",NA,12.8,0,NA,NA,16,2,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","1999-11-15",NA,6.9,0,NA,NA,14,2,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","1999-11-16",NA,0,5.1,NA,NA,0,2,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","1999-11-16",NA,15,0,NA,NA,27,0,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","1999-11-16",NA,7.7,0,NA,NA,15,0,NA
"R3","Waddell Canal","cap","waddell canal","1999-11-16",NA,0,0,NA,NA,2,2,NA
