site number,site location,Cluster,site acronym,date,sample type,conductance (uS/cm),chl A (ug/L),phaeophytin (ug/L),phaeophytin chl A (ug/L),chlorophyta (organisms/ml),cyanophyta (organisms/ml),bacillariophyta (organisms/ml),total (organisms/ml),algae comments
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,8/16/1999,NA,500,7.6,4.7,4.7,21,79,195,302,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,8/16/1999,NA,490,3.8,2,2.7,4,25,493,522,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,8/16/1999,NA,490,2.1,1.5,1.3,4,92,91,127,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,8/16/1999,NA,500,3.6,2.7,2,4,7,189,204,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,8/17/1999,NA,1200,4.2,0,7.3,0,43,165,208,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,8/17/1999,NA,850,1.7,0.5,1.3,14,21,302,337,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,8/17/1999,NA,1120,5.4,0.9,4.7,7,58,402,464,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,8/17/1999,NA,1120,5.1,0.5,4.7,0,29,229,258,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,8/17/1999,NA,1060,3.1,1.7,2,0,0,366,366,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,8/17/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,8/17/1999,NA,1200,1.7,1.7,0.7,0,25,19,44,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,8/17/1999,NA,1220,9,4.5,6.7,29,36,777,849,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,8/17/1999,NA,1210,5.1,7.1,1.3,29,87,297,420,NA
field_blank,field blank,NA,NA,8/18/1999,field blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
lab_blank,laboratory blank,NA,NA,8/18/1999,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,8/18/1999,NA,800,0.3,0,0.7,0,8,135,147,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,8/18/1999,NA,1130,0.6,0,0.7,0,86,0,86,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,8/18/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,8/18/1999,NA,1030,2.8,1.3,2,0,7,164,171,NA
R19,Val Vista WTP treated water,srp,val vista-treated,8/18/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,8/18/1999,NA,890,0.3,0,0.7,0,0,76,76,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,8/18/1999,NA,850,0.6,0,1.3,18,0,0,18,NA
R3,Waddell Canal,cap,waddell canal,8/18/1999,NA,870,0.8,0,5.3,0,0,18,18,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,8/18/1999,NA,830,1.1,0.7,0.7,0,7,54,61,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,8/25/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,9/14/1999,NA,480,7.5,5.3,4,14,64,63,141,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,9/14/1999,NA,480,3.7,1.5,2.7,14,14,317,352,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,9/14/1999,NA,460,2.8,0.1,2.7,0,21,115,136,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,9/14/1999,NA,450,2.4,0.8,2,14,36,222,272,NA
field_blank,field blank,NA,NA,9/15/1999,field blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
lab_blank,laboratory blank,NA,NA,9/15/1999,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,9/15/1999,NA,1055,7.1,2.6,5.3,0,7,128,135,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,9/15/1999,NA,770,0,0,0.7,0,0,28,28,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,9/15/1999,NA,1025,5.1,1.6,4,0,36,352,388,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,9/15/1999,NA,1015,4,0,4,0,7,245,252,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,9/15/1999,NA,1020,2.6,0.8,2,0,14,172,186,NA
R19,Val Vista WTP treated water,srp,val vista-treated,9/15/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,9/15/1999,NA,1060,2,1,1.3,0,14,28,42,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,9/15/1999,NA,1080,7.7,0.1,7.3,65,72,137,274,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,9/15/1999,NA,1085,5.1,0.5,4.7,NA,NA,NA,0,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,9/16/1999,NA,750,1.9,0,2,0,19,22,41,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,9/16/1999,NA,1020,3.1,1.7,2,0,14,178,192,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,9/16/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
